timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705258041941,27,get all,200,OK,Thread Group 1-80,text,true,,6825,126,190,190,http://127.0.0.1:3001/characters,26,0,0
1705258041945,26,get all,200,OK,Thread Group 1-49,text,true,,6825,126,190,190,http://127.0.0.1:3001/characters,26,0,0
1705258041945,29,get all,200,OK,Thread Group 1-94,text,true,,6825,126,190,190,http://127.0.0.1:3001/characters,29,0,0
1705258041931,43,post,200,OK,Thread Group 1-3,text,true,,235,235,191,191,http://127.0.0.1:3001/character,43,0,0
1705258041930,46,post,200,OK,Thread Group 1-29,text,true,,235,235,191,191,http://127.0.0.1:3001/character,46,0,0
1705258041933,43,update,200,OK,Thread Group 1-25,text,true,,235,235,191,191,http://127.0.0.1:3001/character/1,43,0,0
1705258041932,45,post,200,OK,Thread Group 1-34,text,true,,235,235,192,192,http://127.0.0.1:3001/character,45,0,0
1705258041746,233,delete,200,OK,Thread Group 1-75,text,true,,249,192,192,192,http://127.0.0.1:3001/character/1,233,0,48
1705258041974,12,get by id,200,OK,Thread Group 1-3,text,true,,235,127,196,196,http://127.0.0.1:3001/character/1,12,0,0
1705258041976,11,get by id,200,OK,Thread Group 1-29,text,true,,235,127,197,197,http://127.0.0.1:3001/character/1,11,0,0
1705258041977,12,post,200,OK,Thread Group 1-25,text,true,,235,235,197,197,http://127.0.0.1:3001/character,12,0,0
1705258041978,12,get by id,200,OK,Thread Group 1-34,text,true,,235,127,197,197,http://127.0.0.1:3001/character/1,12,0,0
1705258041979,14,update,200,OK,Thread Group 1-75,text,true,,235,235,198,198,http://127.0.0.1:3001/character/1,14,0,0
1705258041948,51,get all,200,OK,Thread Group 1-2,text,true,,6834,126,202,202,http://127.0.0.1:3001/characters,51,0,0
1705258041949,57,get all,200,OK,Thread Group 1-74,text,true,,6834,126,205,205,http://127.0.0.1:3001/characters,57,0,0
1705258041952,57,get all,200,OK,Thread Group 1-71,text,true,,6834,126,205,205,http://127.0.0.1:3001/characters,57,0,0
1705258041953,56,get by id,200,OK,Thread Group 1-76,text,true,,235,127,205,205,http://127.0.0.1:3001/character/1,56,0,0
1705258041953,57,get all,200,OK,Thread Group 1-72,text,true,,6834,126,205,205,http://127.0.0.1:3001/characters,57,0,0
1705258041952,58,get by id,200,OK,Thread Group 1-13,text,true,,235,127,205,205,http://127.0.0.1:3001/character/1,58,0,0
1705258041953,59,post,200,OK,Thread Group 1-1,text,true,,235,235,205,205,http://127.0.0.1:3001/character,58,0,0
